Timestamp,Season,Temperature (°C),Humidity (%),Wind Speed (m/s),Sunlight (W/m²),Building Occupancy,Energy Tariff ($/kWh),Energy Consumption (kWh)
55:35.6,Winter,-4.19,53.82,4.32,3.16,165,0.24,19.13
55:35.6,Winter,9.44,70.59,5.78,536.76,72,0.11,9.04
55:35.6,Winter,-4.3,35.83,2.48,486.66,104,0.15,19.6
55:35.6,Winter,2.23,73.91,13.68,727.17,153,0.22,17.35
55:35.6,Winter,-1.56,57.3,3.44,96.14,188,0.18,21.06
55:35.6,Winter,3.97,68.12,1.39,113.64,119,0.27,19.31
55:35.6,Winter,-2.12,69.64,14.32,608.67,162,0.24,23.15
55:35.6,Winter,5.75,78.02,0.05,353.88,193,0.18,19.23
55:35.6,Winter,6.49,31.63,0.77,959.19,16,0.21,10.45
55:35.6,Winter,3.27,54.19,4.57,129.39,18,0.19,17.33
55:35.6,Winter,1.95,67.32,10.28,413.29,6,0.09,15.66
55:35.6,Winter,-2.65,61.89,15.23,754.86,5,0.13,11.47
55:35.6,Winter,6.19,56.38,12.9,340.26,21,0.06,18.93
55:35.6,Winter,4.15,64.17,5.2,691.08,6,0.08,11.67
55:35.6,Winter,7.46,49.41,19.73,606.65,23,0.11,16.41
55:35.6,Winter,9.25,49.08,2.29,899.23,8,0.1,13.26
55:35.6,Winter,-1.7,76.71,1.47,583.22,22,0.12,15.13
55:35.6,Winter,2.58,66.56,4.43,305.83,21,0.12,19.19
55:35.6,Winter,0.71,40.5,7.1,960.96,16,0.11,12.57
55:35.6,Winter,3.55,63.7,4.38,279.19,7,0.12,19.89
55:35.6,Winter,-2.51,36.26,10.08,53.4,26,0.08,22.93
55:35.6,Winter,-0.08,63.26,8.25,708.63,81,0.26,12.04
55:35.6,Winter,3.05,35.75,6.02,274.51,121,0.1,19.27
55:35.6,Winter,3.64,41.65,16.65,178.46,167,0.18,20
55:35.6,Winter,7.63,70.77,17.4,576.76,138,0.11,19.39
55:35.6,Winter,4.01,30.63,17.34,413.84,63,0.17,22.15
55:35.6,Winter,8.13,37.76,3.98,431.46,81,0.26,16.67
55:35.6,Winter,-4.01,39.19,15.88,167.96,108,0.27,21.65
55:35.6,Winter,-2.58,42.91,11.09,193.48,50,0.1,14.74
55:35.6,Winter,5.16,43.35,6.91,917.57,61,0.17,18.25
55:35.6,Winter,-1.82,44,18.55,788.93,66,0.12,22.49
55:35.6,Winter,2.11,41.58,4.83,147.27,183,0.12,15.21
55:35.6,Winter,-3.24,48.28,12.97,813.28,11,0.22,17.63
55:35.6,Winter,-4.36,30.8,9.89,31.94,18,0.23,12.84
55:35.6,Winter,-1.64,45.23,7.96,105.76,21,0.1,16.45
55:35.6,Winter,8.81,48.89,12.78,286.85,16,0.15,15.6
55:35.6,Winter,9.04,52.66,3.9,465.89,14,0.09,10.08
55:35.6,Winter,0.91,34.76,18.44,673.24,34,0.06,17.69
55:35.6,Winter,5.79,50.1,6.76,523.05,26,0.15,16.2
55:35.6,Winter,-4.28,53.3,8.96,499.91,33,0.11,12.96
55:35.6,Winter,2.3,67.85,15.65,227.33,35,0.12,12.58
55:35.6,Winter,5.2,33.34,12.2,301.18,36,0.05,9.82
55:35.6,Winter,-4.89,50.76,14.69,353.89,33,0.15,18.69
55:35.6,Winter,1.86,41.87,5.17,871.87,8,0.14,15.21
55:35.6,Winter,1.1,45.87,2.56,28.31,24,0.15,15.84
55:35.6,Winter,2.35,64.23,18.19,73.92,32,0.15,16.17
55:35.6,Winter,3.87,66.1,17.48,470.37,36,0.21,15.84
55:35.6,Winter,3.46,35.29,19.23,152.26,42,0.1,22.08
55:35.6,Winter,1.51,74.74,12.56,623.03,40,0.11,17.74
55:35.6,Winter,-1.84,50.79,19.83,165.25,24,0.25,23.06
55:35.6,Winter,2.37,66.83,3.78,858.58,42,0.11,12.76
55:35.6,Winter,4,41.74,6.59,971.01,11,0.2,18.44
55:35.6,Winter,-0.48,32.04,10.34,428.51,47,0.22,16.91
55:35.6,Winter,9.57,35.38,15.27,624.77,23,0.23,16.68
55:35.6,Winter,3.72,44.08,15.85,853.24,27,0.2,8.78
55:35.6,Winter,0.83,72.35,1.07,666.05,41,0.29,21.49
55:35.6,Winter,9.99,77.96,2.31,286.58,24,0.28,13.65
55:35.6,Winter,1.68,70.35,2.11,826.06,27,0.21,10.25
55:35.6,Winter,3.4,41.2,16.92,601.73,19,0.13,11.82
55:35.6,Winter,4.95,46.42,15.04,382.89,37,0.08,11.81
55:35.6,Winter,7.21,32.24,3.8,858.79,16,0.12,16.14
55:35.6,Winter,2.13,76.29,11.29,379.78,22,0.1,11.18
55:35.6,Winter,5.3,57.66,7.07,119.22,44,0.14,17.21
55:35.6,Winter,5.88,36,17.68,446.38,25,0.14,9.23
55:35.6,Winter,2.31,42.12,18.25,184.28,41,0.05,11.1
55:35.6,Winter,7.33,58.71,4.97,693.11,5,0.11,19.29
55:35.6,Winter,3.75,55.38,4.11,540.11,20,0.06,15.23
55:35.6,Winter,6.16,31.33,16.67,587.47,20,0.09,13.35
55:35.6,Winter,3.53,40.83,16.03,72.5,11,0.07,15.08
55:35.6,Winter,1.17,35.04,18.57,515.32,48,0.14,17.59
55:35.6,Winter,-3.09,63.41,16.91,374.24,38,0.26,22.51
55:35.6,Winter,2.72,42.8,16.08,617.45,19,0.18,13.43
55:35.6,Winter,4.06,78.12,2.46,434.25,13,0.2,17.54
55:35.6,Winter,3.56,35.59,0.86,895.61,6,0.16,11.97
55:35.6,Winter,-0.58,40.08,11.42,292.45,17,0.23,20.75
55:35.6,Winter,-4.82,43.87,13.39,571.32,40,0.21,20.16
55:35.6,Winter,9.26,30.39,16.92,655.11,33,0.29,15.24
55:35.6,Winter,9.31,66.38,15.03,517.45,50,0.29,18.18
55:35.6,Winter,8.04,50.43,14.9,218.75,47,0.21,14.62
55:35.6,Winter,-0.72,35.93,7.72,61.91,39,0.22,16.36
55:35.6,Winter,0.33,45.89,0.87,168.3,26,0.22,13.71
55:35.6,Winter,-1.7,36.29,13.67,96.3,17,0.23,19.63
55:35.6,Winter,0.86,34.85,15.61,912.44,46,0.12,12.58
55:35.6,Winter,-0.32,36.41,5.8,28.77,5,0.11,22.2
55:35.6,Winter,8.69,39.99,18.38,144.02,40,0.11,12.86
55:35.6,Winter,8.5,37.79,14.42,5.98,29,0.13,9.45
55:35.6,Winter,0.98,38.72,18.96,293.09,18,0.06,17.48
55:35.6,Winter,3.24,38.59,17.62,338.42,26,0.09,20.97
55:35.6,Winter,3.03,64.78,2.7,872.36,6,0.07,9.36
55:35.6,Winter,0.77,75.09,18.7,413.37,24,0.1,21.37
55:35.6,Winter,4.8,30.86,16.76,808.92,29,0.08,11.97
55:35.6,Winter,-4.57,74.44,8.82,140.53,10,0.06,15.52
55:35.6,Winter,4.06,51.01,1.99,801.8,14,0.09,14.69
55:35.6,Winter,-1.45,32.15,1.4,747.4,141,0.16,17.92
55:35.6,Winter,8.39,67.62,13.69,722.64,70,0.22,18.1
55:35.6,Winter,0.32,65.9,5.02,232.31,109,0.22,19.52
55:35.6,Winter,-3.89,77.62,19.44,470.13,167,0.12,19.97
55:35.6,Winter,7.54,63.12,13.19,378.24,145,0.19,17.49
55:35.6,Winter,4.42,42.5,16.38,562.05,91,0.22,21.22
55:35.6,Winter,0.96,38.85,8.92,789.69,97,0.18,17.73
55:35.6,Winter,6.56,76.9,12.83,973.5,131,0.13,13.16
55:35.6,Winter,6.95,33.89,8.92,543.37,90,0.16,13.68
55:35.6,Winter,-2.86,64.19,6.89,498.83,126,0.23,15.78
55:35.6,Winter,3.09,48.3,9.02,79.16,168,0.3,16.73
55:35.6,Winter,-3.45,72.38,15.26,624.21,19,0.11,13.14
55:35.6,Winter,1.31,71.39,15.19,358.13,25,0.12,22.22
55:35.6,Winter,7.03,59.86,18.27,278.62,26,0.14,10.52
55:35.6,Winter,9.18,78.71,9.42,285.23,25,0.11,8.75
55:35.6,Winter,0.93,35.82,2.49,810.32,10,0.07,10.14
55:35.6,Winter,9.05,38.75,19.76,319.52,24,0.15,14.25
55:35.6,Winter,0.61,62.97,18.99,141.33,25,0.1,11.19
55:35.6,Winter,-3.44,38.83,9.79,429.59,19,0.11,22.52
55:35.6,Winter,2.08,36.99,10.18,60.21,9,0.12,16.13
55:35.6,Winter,5.68,44.13,0.52,95.13,25,0.14,11.01
55:35.6,Winter,-4.64,65.04,13.74,244.97,29,0.14,19.88
55:35.6,Winter,8.75,43.11,7.82,922.61,8,0.12,8.37
55:35.6,Winter,4.78,76.79,19.21,593.18,11,0.08,15.63
55:35.6,Winter,0.97,63.51,1.02,195.78,132,0.2,24.38
55:35.6,Winter,9.79,44.01,17.55,138.86,124,0.27,12.27
55:35.6,Winter,4.12,62.92,9.95,629,150,0.18,13.21
55:35.6,Winter,9.37,45.77,2,456.68,187,0.17,20.59
55:35.6,Winter,4.44,59.97,13.51,797.47,113,0.29,18.13
55:35.6,Winter,7.03,65.88,6.54,835.57,128,0.26,20.19
55:35.6,Winter,2.37,33.23,0.34,795.19,114,0.18,17.5
55:35.6,Winter,1.92,58.77,6.42,251.52,145,0.18,24.79
